,name,link,price
0,OVO COLLEGIATE HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-hoodie-ash-heather-grey-1_800x.jpg?v=1599182726,$148.00
1,OVO COLLEGIATE HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-hoodie-maroon-1_800x.jpg?v=1599182730,$148.00
2,OVO COLLEGIATE HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-hoodie-navy-1_800x.jpg?v=1599182734,$148.00
3,OVO COLLEGIATE HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-hoodie-black-1_800x.jpg?v=1599182956,$148.00
4,OVO COLLEGIATE SWEATPANT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-sweatpant-ash-heather-grey-1_800x.jpg?v=1599182740,$128.00
5,OVO COLLEGIATE SWEATPANT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-sweatpant-maroon-1_800x.jpg?v=1599182744,$128.00
6,OVO COLLEGIATE SWEATPANT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-sweatpant-navy-1_800x.jpg?v=1599182748,$128.00
7,OVO COLLEGIATE SWEATPANT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-sweatpant-black-1_800x.jpg?v=1599183106,$128.00
8,OVO COLLEGIATE LONGSLEEVE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-longsleeve-tshirt-ash-heather-grey-1_800x.jpg?v=1599182751,$58.00
9,OVO COLLEGIATE LONGSLEEVE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-longsleeve-tshirt-navy-1_800x.jpg?v=1599182754,$58.00
10,OVO COLLEGIATE LONGSLEEVE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-longsleeve-tshirt-black-1_800x.jpg?v=1599185220,$58.00
11,OVO COLLEGIATE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-tshirt-white-1_800x.jpg?v=1599182757,$48.00
12,OVO COLLEGIATE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-tshirt-mustard-1_800x.jpg?v=1599182759,$48.00
13,OVO COLLEGIATE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-tshirt-maroon-1_800x.jpg?v=1599182762,$48.00
14,OVO COLLEGIATE T-SHIRT,https://cdn.shopify.com/s/files/1/0973/7782/products/ovo-collegiate-tshirt-black-1_800x.jpg?v=1599183177,$48.00
15,LIGHTWEIGHT RAIN SHELL,https://cdn.shopify.com/s/files/1/0973/7782/products/lightweight-rain-shell-dark-red-1_800x.jpg?v=1598567232,$228.00
16,LIGHTWEIGHT RAIN SHELL,https://cdn.shopify.com/s/files/1/0973/7782/products/lightweight-rain-shell-black-1_800x.jpg?v=1598567219,$228.00
17,ALL COUNTRY HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/all-country-hoodie-white-1_800x.jpg?v=1598567115,$168.00
18,ALL COUNTRY HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/all-country-hoodie-red-1_800x.jpg?v=1598567111,$168.00
19,ALL COUNTRY HOODIE,https://cdn.shopify.com/s/files/1/0973/7782/products/all-country-hoodie-black-1_800x.jpg?v=1598567110,$168.00
